ROWS 12
COLS 22
WIDTH 16
HEIGHT 16
TEXTHEIGHT 0
SPACING 1
R: 255, G:255, B:255 
R: 254, G:254, B:254 
R: 253, G:253, B:253 
R: 252, G:252, B:252 
R: 251, G:251, B:251 
R: 250, G:250, B:250 
R: 249, G:249, B:249 
R: 248, G:248, B:248 
R: 247, G:247, B:247 
R: 246, G:246, B:246 
R: 245, G:245, B:245 
R: 244, G:244, B:244 
R: 243, G:243, B:243 
R: 242, G:242, B:242 
R: 241, G:241, B:241 
R: 240, G:240, B:240 
R: 239, G:239, B:239 
R: 238, G:238, B:238 
R: 237, G:237, B:237 
R: 236, G:236, B:236 
R: 235, G:235, B:235 
R: 234, G:234, B:234 
R: 233, G:233, B:233 
R: 232, G:232, B:232 
R: 231, G:231, B:231 
R: 230, G:230, B:230 
R: 229, G:229, B:229 
R: 228, G:228, B:228 
R: 227, G:227, B:227 
R: 226, G:226, B:226 
R: 225, G:225, B:225 
R: 224, G:224, B:224 
R: 223, G:223, B:223 
R: 222, G:222, B:222 
R: 221, G:221, B:221 
R: 220, G:220, B:220 
R: 219, G:219, B:219 
R: 218, G:218, B:218 
R: 217, G:217, B:217 
R: 216, G:216, B:216 
R: 215, G:215, B:215 
R: 214, G:214, B:214 
R: 213, G:213, B:213 
R: 212, G:212, B:212 
R: 211, G:211, B:211 
R: 210, G:210, B:210 
R: 209, G:209, B:209 
R: 208, G:208, B:208 
R: 207, G:207, B:207 
R: 206, G:206, B:206 
R: 205, G:205, B:205 
R: 204, G:204, B:204 
R: 203, G:203, B:203 
R: 202, G:202, B:202 
R: 201, G:201, B:201 
R: 200, G:200, B:200 
R: 199, G:199, B:199 
R: 198, G:198, B:198 
R: 197, G:197, B:197 
R: 196, G:196, B:196 
R: 195, G:195, B:195 
R: 194, G:194, B:194 
R: 193, G:193, B:193 
R: 192, G:192, B:192 
R: 191, G:191, B:191 
R: 190, G:190, B:190 
R: 189, G:189, B:189 
R: 188, G:188, B:188 
R: 187, G:187, B:187 
R: 186, G:186, B:186 
R: 185, G:185, B:185 
R: 184, G:184, B:184 
R: 183, G:183, B:183 
R: 182, G:182, B:182 
R: 181, G:181, B:181 
R: 180, G:180, B:180 
R: 179, G:179, B:179 
R: 178, G:178, B:178 
R: 177, G:177, B:177 
R: 176, G:176, B:176 
R: 175, G:175, B:175 
R: 174, G:174, B:174 
R: 173, G:173, B:173 
R: 172, G:172, B:172 
R: 171, G:171, B:171 
R: 170, G:170, B:170 
R: 169, G:169, B:169 
R: 168, G:168, B:168 
R: 167, G:167, B:167 
R: 166, G:166, B:166 
R: 165, G:165, B:165 
R: 164, G:164, B:164 
R: 163, G:163, B:163 
R: 162, G:162, B:162 
R: 161, G:161, B:161 
R: 160, G:160, B:160 
R: 159, G:159, B:159 
R: 158, G:158, B:158 
R: 157, G:157, B:157 
R: 156, G:156, B:156 
R: 155, G:155, B:155 
R: 154, G:154, B:154 
R: 153, G:153, B:153 
R: 152, G:152, B:152 
R: 151, G:151, B:151 
R: 150, G:150, B:150 
R: 149, G:149, B:149 
R: 148, G:148, B:148 
R: 147, G:147, B:147 
R: 146, G:146, B:146 
R: 145, G:145, B:145 
R: 144, G:144, B:144 
R: 143, G:143, B:143 
R: 142, G:142, B:142 
R: 141, G:141, B:141 
R: 140, G:140, B:140 
R: 139, G:139, B:139 
R: 138, G:138, B:138 
R: 137, G:137, B:137 
R: 136, G:136, B:136 
R: 135, G:135, B:135 
R: 134, G:134, B:134 
R: 133, G:133, B:133 
R: 132, G:132, B:132 
R: 131, G:131, B:131 
R: 130, G:130, B:130 
R: 129, G:129, B:129 
R: 128, G:128, B:128 
R: 127, G:127, B:127 
R: 126, G:126, B:126 
R: 125, G:125, B:125 
R: 124, G:124, B:124 
R: 123, G:123, B:123 
R: 122, G:122, B:122 
R: 121, G:121, B:121 
R: 120, G:120, B:120 
R: 119, G:119, B:119 
R: 118, G:118, B:118 
R: 117, G:117, B:117 
R: 116, G:116, B:116 
R: 115, G:115, B:115 
R: 114, G:114, B:114 
R: 113, G:113, B:113 
R: 112, G:112, B:112 
R: 111, G:111, B:111 
R: 110, G:110, B:110 
R: 109, G:109, B:109 
R: 108, G:108, B:108 
R: 107, G:107, B:107 
R: 106, G:106, B:106 
R: 105, G:105, B:105 
R: 104, G:104, B:104 
R: 103, G:103, B:103 
R: 102, G:102, B:102 
R: 101, G:101, B:101 
R: 100, G:100, B:100 
R: 099, G:099, B:099 
R: 098, G:098, B:098 
R: 097, G:097, B:097 
R: 096, G:096, B:096 
R: 095, G:095, B:095 
R: 094, G:094, B:094 
R: 093, G:093, B:093 
R: 092, G:092, B:092 
R: 091, G:091, B:091 
R: 090, G:090, B:090 
R: 089, G:089, B:089 
R: 088, G:088, B:088 
R: 087, G:087, B:087 
R: 086, G:086, B:086 
R: 085, G:085, B:085 
R: 084, G:084, B:084 
R: 083, G:083, B:083 
R: 082, G:082, B:082 
R: 081, G:081, B:081 
R: 080, G:080, B:080 
R: 079, G:079, B:079 
R: 078, G:078, B:078 
R: 077, G:077, B:077 
R: 076, G:076, B:076 
R: 075, G:075, B:075 
R: 074, G:074, B:074 
R: 073, G:073, B:073 
R: 072, G:072, B:072 
R: 071, G:071, B:071 
R: 070, G:070, B:070 
R: 069, G:069, B:069 
R: 068, G:068, B:068 
R: 067, G:067, B:067 
R: 066, G:066, B:066 
R: 065, G:065, B:065 
R: 064, G:064, B:064 
R: 063, G:063, B:063 
R: 062, G:062, B:062 
R: 061, G:061, B:061 
R: 060, G:060, B:060 
R: 059, G:059, B:059 
R: 058, G:058, B:058 
R: 057, G:057, B:057 
R: 056, G:056, B:056 
R: 055, G:055, B:055 
R: 054, G:054, B:054 
R: 053, G:053, B:053 
R: 052, G:052, B:052 
R: 051, G:051, B:051 
R: 050, G:050, B:050 
R: 049, G:049, B:049 
R: 048, G:048, B:048 
R: 047, G:047, B:047 
R: 046, G:046, B:046 
R: 045, G:045, B:045 
R: 044, G:044, B:044 
R: 043, G:043, B:043 
R: 042, G:042, B:042 
R: 041, G:041, B:041 
R: 040, G:040, B:040 
R: 039, G:039, B:039 
R: 038, G:038, B:038 
R: 037, G:037, B:037 
R: 036, G:036, B:036 
R: 035, G:035, B:035 
R: 034, G:034, B:034 
R: 033, G:033, B:033 
R: 032, G:032, B:032 
R: 031, G:031, B:031 
R: 030, G:030, B:030 
R: 029, G:029, B:029 
R: 028, G:028, B:028 
R: 027, G:027, B:027 
R: 026, G:026, B:026 
R: 025, G:025, B:025 
R: 024, G:024, B:024 
R: 023, G:023, B:023 
R: 022, G:022, B:022 
R: 021, G:021, B:021 
R: 020, G:020, B:020 
R: 019, G:019, B:019 
R: 018, G:018, B:018 
R: 017, G:017, B:017 
R: 016, G:016, B:016 
R: 015, G:015, B:015 
R: 014, G:014, B:014 
R: 013, G:013, B:013 
R: 012, G:012, B:012 
R: 011, G:011, B:011 
R: 010, G:010, B:010 
R: 009, G:009, B:009 
R: 008, G:008, B:008 
R: 007, G:007, B:007 
R: 006, G:006, B:006 
R: 005, G:005, B:005 
R: 004, G:004, B:004 
R: 003, G:003, B:003 
R: 002, G:002, B:002 
R: 001, G:001, B:001 
R: 000, G:000, B:000 
