ROWS 12
COLS 22
WIDTH 16
HEIGHT 16
TEXTHEIGHT 0
SPACING 1
R: 000, G:000, B:000 
R: 064, G:064, B:064 
R: 136, G:000, B:000 
R: 156, G:032, B:032 
R: 108, G:108, B:108 
R: 176, G:060, B:060 
R: 192, G:088, B:088 
R: 144, G:144, B:144 
R: 208, G:112, B:112 
R: 176, G:176, B:176 
R: 224, G:136, B:136 
R: 236, G:160, B:160 
R: 200, G:200, B:200 
R: 252, G:180, B:180 
R: 220, G:220, B:220 
R: 236, G:236, B:236 
R: 132, G:024, B:000 
R: 152, G:052, B:024 
R: 172, G:080, B:048 
R: 192, G:104, B:072 
R: 208, G:128, B:092 
R: 224, G:148, B:112 
R: 112, G:040, B:000 
R: 236, G:168, B:128 
R: 252, G:188, B:148 
R: 132, G:068, B:020 
R: 152, G:092, B:040 
R: 172, G:120, B:060 
R: 188, G:140, B:076 
R: 068, G:040, B:000 
R: 204, G:160, B:092 
R: 100, G:072, B:024 
R: 220, G:180, B:104 
R: 132, G:104, B:048 
R: 160, G:132, B:068 
R: 184, G:156, B:088 
R: 208, G:180, B:108 
R: 232, G:204, B:124 
R: 232, G:204, B:124 
R: 252, G:224, B:140 
R: 068, G:068, B:000 
R: 100, G:100, B:016 
R: 132, G:132, B:036 
R: 160, G:160, B:052 
R: 184, G:184, B:064 
R: 208, G:208, B:080 
R: 232, G:232, B:092 
R: 252, G:252, B:104 
R: 076, G:080, B:028 
R: 044, G:048, B:000 
R: 204, G:212, B:136 
R: 132, G:140, B:076 
R: 104, G:112, B:052 
R: 224, G:236, B:156 
R: 180, G:192, B:120 
R: 156, G:168, B:100 
R: 180, G:228, B:144 
R: 200, G:252, B:164 
R: 156, G:204, B:124 
R: 108, G:152, B:080 
R: 052, G:092, B:028 
R: 132, G:180, B:104 
R: 020, G:056, B:000 
R: 080, G:124, B:056 
R: 000, G:060, B:000 
R: 032, G:092, B:032 
R: 064, G:124, B:064 
R: 092, G:156, B:092 
R: 116, G:180, B:116 
R: 140, G:208, B:140 
R: 164, G:228, B:164 
R: 184, G:252, B:184 
R: 164, G:252, B:212 
R: 124, G:208, B:172 
R: 144, G:228, B:192 
R: 104, G:180, B:148 
R: 080, G:156, B:128 
R: 056, G:124, B:100 
R: 000, G:064, B:044 
R: 028, G:092, B:072 
R: 144, G:204, B:232 
R: 164, G:224, B:252 
R: 124, G:180, B:212 
R: 104, G:156, B:192 
R: 080, G:132, B:172 
R: 056, G:104, B:144 
R: 028, G:076, B:120 
R: 000, G:044, B:092 
R: 164, G:200, B:252 
R: 144, G:180, B:236 
R: 124, G:156, B:220 
R: 104, G:136, B:204 
R: 080, G:112, B:188 
R: 056, G:084, B:168 
R: 028, G:056, B:144 
R: 164, G:184, B:252 
R: 144, G:164, B:236 
R: 000, G:024, B:124 
R: 124, G:140, B:224 
R: 104, G:116, B:208 
R: 080, G:092, B:192 
R: 056, G:064, B:176 
R: 028, G:032, B:156 
R: 000, G:000, B:136 
R: 168, G:160, B:236 
R: 188, G:180, B:252 
R: 124, G:112, B:208 
R: 048, G:032, B:152 
R: 148, G:136, B:224 
R: 076, G:060, B:172 
R: 020, G:000, B:132 
R: 104, G:088, B:192 
R: 212, G:176, B:252 
R: 196, G:156, B:236 
R: 160, G:112, B:204 
R: 140, G:088, B:184 
R: 180, G:132, B:220 
R: 096, G:032, B:144 
R: 120, G:060, B:164 
R: 072, G:000, B:120 
R: 220, G:156, B:208 
R: 192, G:112, B:176 
R: 236, G:176, B:224 
R: 208, G:132, B:192 
R: 140, G:032, B:116 
R: 176, G:088, B:156 
R: 120, G:000, B:092 
R: 160, G:060, B:136 
